y_true,y_pred_lgbm,y_pred_baseline
11383.0,0.0,10318.0
11372.0,0.0,10263.0
11697.0,0.0,10296.0
12751.0,0.0,10508.0
14513.0,0.0,10975.0
15300.0,0.0,11548.0
15467.0,0.0,12202.0
15630.0,0.0,12671.0
15782.0,0.0,12770.0
15452.0,0.0,12821.0
15344.0,0.0,12822.0
15312.0,0.0,12902.0
15130.0,0.0,12802.0
15032.0,0.0,12688.0
15232.0,0.0,12830.0
15610.0,0.0,13380.0
16072.0,0.0,14067.0
15899.0,0.0,13930.0
15774.0,0.0,13843.0
15439.0,0.0,13341.0
14194.0,0.0,12831.0
13165.0,0.0,12181.0
12494.0,0.0,11730.0
11988.0,0.0,11434.0
11802.0,0.0,11383.0
11803.0,0.0,11372.0
11951.0,0.0,11697.0
12788.0,0.0,12751.0
14132.0,0.0,14513.0
14760.0,0.0,15300.0
15083.0,0.0,15467.0
15266.0,0.0,15630.0
15600.0,0.0,15782.0
15737.0,0.0,15452.0
15904.0,0.0,15344.0
15856.0,0.0,15312.0
15820.0,0.0,15130.0
